ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
213,democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
94,democrat,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y
188,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
61,democrat,y,y,y,n,n,unknown,y,y,y,y,n,n,n,n,y,unknown
184,democrat,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown,unknown,unknown,unknown,unknown,unknown
150,democrat,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y
416,democrat,n,y,y,n,n,y,y,y,unknown,y,n,n,n,n,n,y
283,republican,y,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,n
306,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
278,republican,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y
121,republican,n,unknown,unknown,y,y,y,n,n,n,y,n,y,y,y,unknown,y
214,democrat,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y
227,democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y
232,republican,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y
211,democrat,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
176,democrat,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
15,republican,n,y,n,y,y,y,n,n,n,n,n,y,unknown,unknown,n,unknown
50,republican,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
19,republican,n,y,n,y,y,y,n,n,n,n,n,unknown,y,y,n,n
343,democrat,n,y,y,n,y,unknown,y,n,n,y,y,n,y,n,y,y
319,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
362,democrat,y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,unknown
365,republican,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y
116,democrat,n,unknown,y,n,unknown,unknown,y,y,y,y,unknown,unknown,n,n,y,y
396,democrat,y,y,y,unknown,n,n,n,y,n,n,y,unknown,n,n,y,y
142,republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,unknown,y
376,democrat,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n
143,republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
135,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
420,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
272,democrat,n,y,y,n,n,y,y,y,y,n,unknown,n,n,n,n,y
70,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
382,democrat,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,unknown
203,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
181,democrat,unknown,unknown,y,n,n,n,y,y,y,unknown,unknown,n,n,n,unknown,unknown
418,democrat,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y
277,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n
397,democrat,y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y
239,democrat,y,y,y,n,n,n,y,y,unknown,y,n,n,n,n,y,unknown
80,republican,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n
347,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
398,democrat,y,y,n,n,y,unknown,n,n,n,n,y,n,y,y,n,y
23,democrat,y,unknown,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
291,democrat,y,n,y,n,unknown,y,unknown,y,y,y,n,n,y,y,n,y
201,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
47,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
11,republican,n,y,n,y,y,n,n,n,n,n,unknown,unknown,y,y,n,n
164,republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
282,republican,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,unknown
383,democrat,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,unknown
109,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
8,republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,unknown,y
401,republican,n,y,n,y,y,y,n,unknown,n,n,unknown,unknown,unknown,y,n,unknown
127,republican,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
113,democrat,n,unknown,y,n,n,y,y,y,n,y,n,n,n,n,y,unknown
265,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
408,democrat,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
100,republican,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,n
5,democrat,y,y,y,n,y,y,n,n,n,n,y,unknown,y,y,y,y
222,democrat,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,unknown
432,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
348,republican,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
368,democrat,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,unknown
39,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
251,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
286,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
55,democrat,y,y,y,n,n,y,unknown,y,n,n,y,y,n,y,n,unknown
139,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y
429,democrat,unknown,unknown,unknown,n,n,n,y,y,y,y,n,n,y,n,y,y
52,republican,n,y,n,y,y,y,n,unknown,n,n,n,y,y,y,n,y
379,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
210,democrat,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
66,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
152,democrat,y,y,unknown,y,y,y,n,n,y,n,y,unknown,y,y,n,n
16,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,unknown,n,unknown
35,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
98,democrat,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y
