ID,"class"
13,democrat
393,democrat
163,democrat
57,democrat
148,democrat
423,democrat
130,democrat
86,democrat
228,democrat
388,democrat
10,democrat
308,democrat
303,democrat
336,democrat
322,democrat
226,democrat
194,democrat
32,democrat
371,democrat
180,democrat
187,democrat
177,democrat
400,democrat
146,democrat
372,democrat
241,democrat
7,democrat
327,democrat
155,democrat
123,democrat
410,democrat
334,democrat
2,democrat
253,democrat
296,democrat
4,democrat
20,democrat
126,democrat
77,democrat
290,democrat
275,democrat
234,democrat
93,democrat
46,democrat
31,democrat
45,democrat
281,democrat
162,democrat
69,democrat
199,democrat
268,democrat
182,democrat
59,democrat
229,democrat
422,democrat
381,democrat
355,democrat
271,democrat
125,democrat
64,democrat
117,democrat
274,democrat
425,democrat
149,democrat
165,democrat
58,democrat
378,democrat
266,democrat
17,democrat
240,democrat
233,democrat
166,democrat
73,democrat
428,democrat
289,democrat
375,democrat
409,democrat
433,democrat
260,democrat
90,democrat
24,democrat
170,democrat
101,democrat
377,democrat
81,democrat
159,democrat
186,democrat
412,democrat
417,democrat
427,democrat
141,democrat
189,democrat
193,democrat
37,democrat
87,democrat
225,democrat
147,democrat
48,democrat
42,democrat
221,democrat
230,democrat
191,democrat
264,democrat
318,democrat
195,democrat
91,democrat
256,democrat
419,democrat
309,democrat
169,democrat
353,democrat
369,democrat
373,democrat
89,democrat
384,democrat
54,democrat
78,democrat
172,democrat
84,democrat
231,democrat
341,democrat
402,democrat
351,democrat
391,democrat
107,democrat
236,democrat
263,democrat
415,democrat
262,democrat
387,democrat
385,democrat
122,democrat
118,democrat
356,democrat
364,democrat
267,democrat
305,democrat
29,democrat
349,democrat
124,democrat
72,democrat
320,democrat
140,democrat
183,democrat
249,democrat
404,democrat
257,democrat
335,democrat
60,democrat
279,democrat
333,democrat
311,democrat
103,democrat
435,democrat
326,democrat
261,democrat
284,democrat
79,democrat
82,democrat
370,democrat
160,democrat
324,democrat
312,democrat
337,democrat
254,democrat
361,democrat
248,democrat
53,democrat
74,democrat
358,democrat
174,democrat
325,democrat
259,democrat
67,democrat
245,democrat
12,democrat
14,democrat
40,democrat
380,democrat
403,democrat
269,democrat
43,democrat
270,democrat
244,democrat
329,democrat
430,democrat
200,democrat
30,democrat
243,democrat
331,democrat
299,democrat
18,democrat
168,democrat
255,democrat
204,democrat
413,democrat
258,democrat
247,democrat
75,democrat
106,democrat
151,democrat
96,democrat
129,democrat
338,democrat
288,democrat
112,democrat
49,democrat
102,democrat
208,democrat
294,democrat
310,democrat
242,democrat
359,democrat
128,democrat
27,democrat
119,democrat
133,democrat
