ID,"handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
13,n,y,y,n,n,n,y,y,y,n,n,n,y,n,unknown,unknown
393,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y
163,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
57,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
148,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
423,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y
130,unknown,unknown,y,n,n,n,y,y,unknown,n,unknown,unknown,unknown,unknown,unknown,unknown
86,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y
228,y,n,y,n,n,n,y,y,y,n,n,n,n,n,unknown,y
388,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,unknown
10,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
308,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,unknown
303,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y
336,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,unknown
322,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y
226,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,y
194,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
32,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
371,y,y,y,n,unknown,y,y,y,n,y,unknown,unknown,n,n,y,y
180,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
187,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
177,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
400,n,y,n,y,unknown,y,n,n,n,y,n,y,y,y,n,n
146,n,n,y,n,n,y,y,y,y,y,n,n,n,y,unknown,y
372,y,y,y,n,unknown,n,y,y,y,y,n,n,n,n,y,unknown
241,n,n,n,y,n,y,y,unknown,y,n,n,y,y,y,n,y
7,n,y,n,y,y,y,n,n,n,n,n,n,unknown,y,y,y
327,y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y
155,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
123,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
410,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
334,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
2,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
253,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y
296,n,y,n,y,y,y,unknown,unknown,n,y,n,y,unknown,unknown,unknown,unknown
4,n,y,y,n,unknown,y,n,n,n,n,y,n,y,n,n,y
20,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
126,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
77,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,unknown
290,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,unknown
275,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y
234,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
93,y,y,y,n,n,n,y,y,n,y,y,n,n,unknown,y,y
46,y,y,y,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
31,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
45,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,unknown
281,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y
162,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
69,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
199,n,n,y,n,n,n,y,y,y,y,y,n,unknown,n,y,unknown
268,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y
182,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
59,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
229,n,y,n,y,y,y,n,n,n,n,n,y,y,unknown,n,y
422,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y
381,y,y,y,n,n,y,unknown,y,y,n,y,n,y,n,y,y
355,n,y,y,n,n,y,y,y,y,y,n,unknown,n,n,y,y
271,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
