ID,Class
750,Sherwin
751,Engineer
752,Morrison
753,Dent
754,Agresti
755,Comdet
756,Grove
757,Engineer
758,Agresti
759,Kolln
760,Mahlers2nd
761,Robert
762,Engineer
763,Chell
764,Harp
765,Peterson
766,Robert
767,Davisson
768,Messick
769,Hayes
770,Comdet
771,Wilson
772,Neal
773,Goonan
774,Brody
775,Power
776,CFH
777,Morrison
778,Koenig
779,Mahlers2nd
780,Ashbacher
781,Mark
782,Peterson
783,Merritt
784,Lawyeraau
785,Comdet
786,Dent
787,Blankenship
788,Kolln
789,Walters
790,Nigam
791,Shea
792,Morrison
793,Peterson
794,Bukowsky
795,Mahlers2nd
796,Wilson
797,Chell
798,Chandler
799,Agresti
800,Bukowsky
801,Engineer
802,Sherwin
803,Wilson
804,Brown
805,Corn
806,Corn
807,Mitchell
808,Robert
809,Davisson
810,Shea
811,Agresti
812,Power
813,Peterson
814,Wilson
815,Vernon
816,Calvinnme
817,Messick
818,Mark
819,Lovitt
820,Auken
821,Morrison
822,Sherwin
823,Vision
824,Chandler
825,Koenig
826,Dent
827,Cutey
828,Chell
829,Kolln
830,Engineer
831,Auken
832,Peterson
833,Shea
834,Brown
835,Hayes
836,Davisson
837,Koenig
838,Merritt
839,Koenig
840,Hayes
841,Neal
842,Power
843,Davisson
844,Blankenship
845,Kolln
846,Cholette
847,Harp
848,Harp
849,Robert
850,CFH
851,Cutey
852,Calvinnme
853,Lawyeraau
854,Taylor
855,Walters
856,Dent
857,Merritt
858,Blankenship
859,Riley
860,Agresti
861,Lovitt
862,Davisson
863,Cholette
864,Lawyeraau
865,Chell
866,Janson
867,Goonan
868,Vernon
869,CFH
870,Goonan
871,Ashbacher
872,Mark
873,Lee
874,Shea
875,Peterson
876,Harp
877,Lawyeraau
878,Neal
879,CFH
880,Goonan
881,Calvinnme
882,Vision
883,Davisson
884,Chandler
885,Peterson
886,Grove
887,Agresti
888,Lawyeraau
889,Dent
890,CFH
891,Koenig
892,Shea
893,Davisson
894,Cholette
895,Davisson
896,Lawyeraau
897,Engineer
898,Cholette
899,Chandler
900,Merritt
901,Kolln
902,Riley
903,Sherwin
904,Johnson
905,Comdet
906,Blankenship
907,Dent
908,Mark
909,Hayes
910,Shea
911,Dent
912,Messick
913,Mark
914,Engineer
915,CFH
916,Brown
917,Calvinnme
918,Chandler
919,Wilson
920,Koenig
921,Blankenship
922,Blankenship
923,Auken
924,Brown
925,Taylor
926,Vision
927,Mahlers2nd
928,Cholette
929,Johnson
930,Mahlers2nd
931,Agresti
932,Mahlers2nd
933,Brown
934,Harp
935,Lawyeraau
936,Chell
937,Johnson
938,Davisson
939,Harp
940,Dent
941,Wilson
942,Davisson
943,Morrison
944,Chandler
945,Peterson
946,Riley
947,Calvinnme
948,Harp
949,Lovitt
950,Riley
951,Koenig
952,Wilson
953,Comdet
954,Nigam
955,Neal
956,Mark
957,CFH
958,Calvinnme
959,Agresti
960,Koenig
961,Goonan
962,Nigam
963,Chachra
964,Calvinnme
965,Morrison
966,Chell
967,Power
968,Harp
969,Morrison
970,Power
971,Wilson
972,Comdet
973,Hayes
974,Chachra
975,Power
976,Auken
977,Messick
978,Walters
979,Janson
